"key","message","comment","context"
"App",,,
"App construction",,,
"App sale",,,
"Assigned to",,,
"Cancel",,,
"Cost Pr","Px de Revient",,
"Cost price","Prix de revient",,
"Default gross margin","Marge par défaut",,
"Enable unit price calculation",,,
"Finish",,,
"GE","FG",,
"General",,,
"General expenses","Frais généraux",,
"Gross margin","Marge",,
"I",,,
"Invoicing",,,
"Name",,,
"PR HT","PU HT",,
"Planned time",,,
"Progress",,,
"Project",,,
"Purchase Pr","Px d'achat",,
"Purchase price","Prix d'achat",,
"Reset",,,
"SO line",,,
"SO lines",,,
"Sale configuration",,,
"Situations","Situations",,
"Task",,,
"Task date",,,
"Tasks",,,
"Time",,,
"To invoice","A facturer",,
"Tools",,,
"Works","Travaux",,
